Country,PERCENTAGE_Safety,SCORE_law_order
Albania,73,84
Argentina,41,65
Armenia,86,85
Australia,68,81
Austria,82,87
Azerbaijan,75,87
Bahrain,87,89
Bangladesh,78,81
Belgium,68,83
Benin,58,72
Bolivia,48,62
Bosnia And Herzegovina,72,82
Botswana,32,60
Brazil,48,74
Bulgaria,59,78
Burkina Faso,52,78
Cambodia,59,80
Cameroon,45,64
Canada,73,83
Chad,44,60
Chile,36,68
China,86,88
Colombia,45,65
Comoros,62,69
Costa Rica,48,73
Croatia,71,81
Cyprus,66,77
Czech Republic,73,85
Côte D'Ivoire,51,74
Democratic Republic Of Congo,44,58
Denmark,86,90
Dominican Republic,46,69
Ecuador,27,55
Egypt,81,88
El Salvador,88,89
Estonia,85,91
Eswatini,37,62
Ethiopia,53,70
Finland,85,91
France,73,84
Gabon,41,62
Georgia,79,86
Germany,74,86
Ghana,70,71
Greece,64,77
Guatemala,58,74
Guinea,49,63
Honduras,62,73
Hong Kong (S.A.R. Of China),85,86
Hungary,72,83
Iceland,87,91
India,70,83
Indonesia,83,89
Iran,73,81
Iraq,75,84
Ireland,78,86
Israel,68,84
Italy,64,81
Japan,77,86
Jordan,76,87
Kazakhstan,67,80
Kenya,48,63
Kosovo,87,91
Kuwait,99,98
Kyrgyzstan,72,82
Lao People'S Democratic Republic,55,77
Latvia,75,82
Lebanon,48,73
Liberia,30,50
Libya,67,76
Lithuania,72,86
Luxembourg,87,91
Madagascar,49,68
Malawi,40,63
Malaysia,69,87
Mali,68,77
Malta,73,84
Mauritania,56,65
Mauritius,65,80
Mexico,45,66
Mongolia,51,71
Montenegro,88,88
Morocco,68,78
Mozambique,51,71
Myanmar,42,64
Namibia,37,64
Nepal,60,77
Netherlands,83,88
New Zealand,58,76
Niger,60,68
Nigeria,55,65
North Macedonia,72,79
Northern Cyprus,75,82
Norway,92,93
Pakistan,53,78
Panama,60,77
Paraguay,50,72
Peru,45,63
Philippines,62,84
Poland,66,81
Portugal,83,89
Republic Of Moldova,72,80
Romania,63,78
Russian Federation,71,81
Saudi Arabia,92,89
Senegal,54,72
Serbia,78,84
Sierra Leone,49,57
Singapore,94,95
Slovakia,66,82
Slovenia,91,89
Somalia,81,82
South Africa,30,58
South Korea,76,85
Spain,82,87
Sri Lanka,54,77
State Of Palestine,71,75
Sweden,79,88
Switzerland,87,91
"Taiwan, Province Of China",84,88
Tajikistan,92,95
Tanzania,67,79
Thailand,64,79
The Gambia,38,59
The Republic Of The Congo,47,63
Togo,50,71
Tunisia,65,76
Türkiye,66,82
Uganda,47,62
Ukraine,59,73
United Arab Emirates,90,90
United Kingdom Of Great Britain And Northern Ireland,76,82
United States Of America,72,81
Uruguay,52,75
Uzbekistan,84,89
Venezuela,45,66
Vietnam,77,90
Yemen,56,71
Zambia,43,65
Zimbabwe,38,69
