Country,Overall Rank,Average Life Evaluation,Social support Rank,Social support Value,Social support Explains,GDP per capita Rank,GDP per capita Value,GDP per capita Explains,Healthy life expectancy Explains,Freedom Rank,Freedom Value,Freedom Explains,Generosity Rank,Generosity Value,Generosity Explains,Perceptions of corruption Rank,Perceptions of corruption Value,Perceptions of corruption Explains,Region,Ladder score 2023,Rank 2023,Ladder score 2022,Rank 2022,Ladder score 2021,Rank 2021,Ladder score 2020,Rank 2020
Afghanistan,147.0,1.364,,,0.0,,,47.6,11.4,,,0.0,,,5.5,,,9.9,South Asia,1.721,143.0,1.859,137.0,2.404,146.0,2.523,150.0
Albania,89.0,5.411,111.0,72.1,20.7,65.0,18774.0,25.3,12.9,34.0,89.2,15.5,72.0,30.3,1.9,114.0,86.0,1.0,Central and Eastern Europe,5.304,87.0,5.277,83.0,5.199,90.0,5.117,94.0
Algeria,84.0,5.571,69.0,82.4,24.5,74.0,15370.0,23.6,14.0,75.0,81.2,9.4,123.0,12.6,1.0,,,3.9,Middle East and North Africa,5.364,85.0,5.329,81.0,5.122,96.0,4.887,110.0
Angola,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,,,,,,,,
Argentina,42.0,6.397,21.0,92.3,25.4,52.0,25984.0,23.5,9.1,47.0,87.1,12.9,112.0,16.7,0.8,75.0,78.7,1.3,Latin America and the Caribbean,6.188,48.0,6.024,52.0,5.967,57.0,5.929,58.0
Armenia,87.0,5.494,93.0,76.7,24.6,61.0,20147.0,25.3,15.1,60.0,83.9,14.3,136.0,8.2,0.6,51.0,72.1,2.9,Commonwealth of Independent States,5.455,82.0,5.342,79.0,5.399,82.0,5.283,87.0
Australia,11.0,6.974,42.0,89.6,23.6,13.0,59571.0,25.3,12.1,49.0,86.4,12.3,22.0,52.8,2.4,19.0,51.2,4.1,"North America, Australia, and New Zealand",7.057,10.0,7.095,12.0,7.162,12.0,7.183,12.0
Austria,17.0,6.81,25.0,91.9,23.4,10.0,63350.0,26.3,12.0,54.0,85.8,12.6,7.0,63.6,2.6,18.0,50.4,4.1,Western Europe,6.905,14.0,7.097,11.0,7.163,11.0,7.268,11.0
Azerbaijan,106.0,4.875,117.0,66.1,21.1,58.0,21726.0,29.3,14.5,67.0,82.2,16.1,95.0,21.2,1.6,45.0,69.1,3.7,Commonwealth of Independent States,4.893,101.0,,,5.173,92.0,5.171,91.0
Bahrain,59.0,6.03,76.0,81.1,23.1,14.0,57251.0,29.1,10.1,15.0,92.5,15.0,30.0,46.7,2.5,,,2.8,Middle East and North Africa,5.959,62.0,6.173,42.0,6.647,21.0,6.647,23.0
Bangladesh,134.0,3.851,142.0,36.0,7.4,96.0,8603.0,29.0,15.4,12.0,93.0,23.9,50.0,35.6,2.9,105.0,85.0,3.4,South Asia,3.886,129.0,4.282,118.0,5.155,94.0,5.025,102.0
Belarus,,,,,,,,,,,,,,,,,,,Commonwealth of Independent States,,,,,5.821,65.0,5.534,76.0
Belgium,14.0,6.91,31.0,91.2,23.8,11.0,62870.0,25.8,12.3,26.0,90.6,13.0,48.0,36.1,1.7,14.0,43.9,4.4,Western Europe,6.894,16.0,6.859,17.0,6.805,19.0,6.834,21.0
Belize,25.0,6.711,57.0,86.9,22.9,83.0,12620.0,18.7,7.8,1.0,97.0,15.2,96.0,21.1,1.1,92.0,81.3,1.2,Latin America and the Caribbean,,,,,,,,
Benin,121.0,4.357,141.0,38.6,5.2,115.0,3849.0,19.6,8.2,107.0,73.8,15.6,100.0,20.3,2.1,25.0,58.6,5.5,Sub-Saharan Africa,4.377,116.0,4.374,116.0,4.623,115.0,5.045,100.0
Bhutan,,,,,,,,,,,,,,,,,,,South Asia,,,,,,,,
Bolivia,74.0,5.868,86.0,78.2,23.1,92.0,9846.0,20.0,5.9,76.0,80.8,13.9,127.0,12.2,1.1,98.0,83.9,0.9,Latin America and the Caribbean,5.784,73.0,5.684,69.0,5.6,71.0,5.716,70.0
Bosnia and Herzegovina,56.0,6.136,47.0,88.7,25.2,60.0,20467.0,22.9,10.0,89.0,78.9,12.2,28.0,47.0,2.9,124.0,89.1,0.1,Central and Eastern Europe,5.877,65.0,5.633,71.0,5.768,67.0,5.813,65.0
Botswana,142.0,3.438,110.0,72.2,33.3,63.0,19194.0,40.4,2.7,86.0,79.1,20.3,125.0,12.3,0.5,81.0,79.5,2.4,Sub-Saharan Africa,3.383,137.0,3.435,132.0,3.471,142.0,3.467,147.0
Brazil,36.0,6.494,56.0,87.0,23.4,62.0,19552.0,21.4,7.4,59.0,84.5,12.8,71.0,30.4,1.4,66.0,76.1,2.0,Latin America and the Caribbean,6.272,44.0,6.125,49.0,6.293,38.0,6.33,36.0
Bulgaria,85.0,5.554,15.0,93.4,31.1,44.0,34864.0,28.3,8.3,83.0,79.7,12.8,85.0,25.7,1.0,130.0,92.5,0.0,Central and Eastern Europe,5.463,81.0,5.466,77.0,5.371,85.0,5.266,89.0
Burkina Faso,120.0,4.383,124.0,62.8,18.9,126.0,2517.0,16.5,6.7,97.0,77.0,15.3,81.0,26.7,3.2,24.0,57.8,5.0,Sub-Saharan Africa,4.548,110.0,4.638,104.0,4.67,113.0,4.834,114.0
Burundi,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,,,,,,,3.775,141.0
Cambodia,124.0,4.341,106.0,73.2,28.0,99.0,6992.0,24.2,11.1,7.0,94.2,22.7,62.0,32.2,3.2,83.0,80.1,1.8,Southeast Asia,4.341,119.0,4.393,115.0,4.64,114.0,4.83,115.0
Cameroon,104.0,4.887,123.0,64.2,20.2,111.0,4930.0,19.3,6.2,85.0,79.4,13.5,98.0,20.4,2.0,100.0,84.3,1.2,Sub-Saharan Africa,4.874,104.0,4.973,96.0,5.048,102.0,5.142,92.0
Canada,18.0,6.803,35.0,90.4,24.2,16.0,55640.0,25.7,12.2,68.0,81.9,12.0,27.0,48.0,2.5,15.0,45.7,4.7,"North America, Australia, and New Zealand",6.9,15.0,6.961,13.0,7.025,15.0,7.103,15.0
Central African Republic,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,,,,,,,,
