Country,Happiness Index,anger_no,anger_yes,enjoyment_no,enjoyment_yes,learned_no,learned_yes,pain_no,pain_yes,respect_no,respect_yes,sadness_no,sadness_yes,smiled_no,smiled_yes,stress_no,stress_yes,well-rested_no,well-rested_yes,worry_no,worry_yes,PERCENTAGE_Safety,SCORE_law_order
Afghanistan,1.364,73,25,66,33,81,17,58,42,31,67,54,45,71,28,46,53,54,46,33,67,,
Albania,5.411,76,24,31,68,65,35,53,46,7,92,70,29,25,74,50,49,34,65,60,40,73.0,84.0
Argentina,6.397,85,15,20,79,45,54,59,41,5,94,71,28,18,82,57,42,30,70,53,47,41.0,65.0
Armenia,5.494,58,42,39,60,57,42,62,38,3,96,63,36,31,68,72,27,50,50,52,48,86.0,85.0
Australia,6.974,86,14,21,79,36,63,68,32,8,91,76,24,23,76,57,43,34,66,63,37,68.0,81.0
Austria,6.81,83,17,21,79,37,62,72,28,10,89,80,20,28,72,64,36,23,77,65,35,82.0,87.0
Azerbaijan,4.875,79,20,48,50,59,40,73,27,9,86,76,22,38,60,86,14,43,57,75,25,75.0,87.0
Bahrain,6.03,73,27,33,67,45,54,64,35,8,92,67,33,21,79,57,43,27,73,58,42,87.0,89.0
Bangladesh,3.851,72,28,42,58,83,17,53,47,14,86,55,45,44,55,62,38,35,65,43,57,78.0,81.0
Belgium,6.91,86,14,23,77,39,61,65,35,6,93,79,21,21,79,63,37,36,64,60,39,68.0,83.0
Benin,4.357,67,32,51,48,44,56,44,56,20,80,61,38,32,68,60,39,43,57,43,57,58.0,72.0
Bolivia,5.868,72,28,22,77,35,64,62,38,5,94,62,38,17,80,45,54,28,70,45,55,48.0,62.0
Bosnia And Herzegovina,6.136,78,21,33,66,54,46,71,29,6,91,82,17,39,58,71,27,40,58,63,37,72.0,82.0
Botswana,3.438,85,15,35,64,43,56,62,38,10,90,74,26,24,76,72,27,30,70,67,33,32.0,60.0
Brazil,6.494,81,19,27,72,42,58,62,38,5,95,76,24,23,76,57,43,36,64,49,51,48.0,74.0
Bulgaria,5.554,87,11,35,62,61,37,71,28,9,87,78,20,40,58,70,29,36,63,71,28,59.0,78.0
Burkina Faso,4.383,81,19,32,68,47,52,59,41,26,74,66,33,29,71,61,39,36,64,48,52,52.0,78.0
Cambodia,4.341,79,21,21,79,55,45,69,31,21,78,57,43,18,81,60,40,31,69,46,54,59.0,80.0
Cameroon,4.887,74,26,46,54,47,53,57,43,20,80,67,33,30,69,55,44,37,63,52,48,45.0,64.0
Canada,6.803,80,19,20,80,38,62,66,34,9,91,74,26,25,75,47,53,35,65,54,46,73.0,83.0
Chad,4.384,65,35,47,53,50,49,35,65,36,64,48,52,40,59,48,52,39,61,46,53,44.0,60.0
Chile,6.361,87,13,15,85,35,65,61,39,3,97,77,23,16,83,64,35,24,76,57,43,36.0,68.0
China,5.921,80,20,16,84,41,59,87,13,18,82,85,15,30,70,57,43,22,78,71,29,86.0,88.0
Colombia,6.004,85,15,21,78,36,63,66,34,2,98,74,26,17,82,58,42,24,76,55,45,45.0,65.0
Comoros,3.754,69,31,35,64,64,30,41,59,26,73,63,36,34,63,52,48,45,54,46,52,62.0,69.0
Costa Rica,7.274,83,17,14,86,31,69,62,38,3,97,76,24,13,86,54,45,24,75,57,43,48.0,73.0
Croatia,5.87,89,9,40,55,49,48,75,24,22,75,83,14,27,60,70,27,30,68,54,45,71.0,81.0
Cyprus,5.942,82,18,26,73,48,52,68,32,9,90,77,23,22,75,46,54,43,56,52,48,66.0,77.0
Czechia,6.775,78,22,16,84,40,58,70,30,6,92,78,22,18,80,67,33,39,60,67,33,73.0,85.0
Côte D’Ivoire,5.102,82,18,35,65,39,60,49,51,16,84,70,30,24,76,72,27,32,68,56,44,51.0,74.0
Denmark,7.521,86,14,14,86,35,65,71,29,6,93,80,20,23,76,82,18,30,70,64,36,86.0,90.0
Dominican Republic,5.846,88,12,30,70,35,64,64,36,5,95,74,26,16,83,55,44,26,73,61,39,46.0,69.0
Dr Congo,3.469,60,40,48,52,50,49,43,56,27,73,50,49,37,62,55,39,40,60,40,60,44.0,58.0
Ecuador,5.965,79,21,20,79,34,66,61,39,7,93,66,33,17,82,47,52,26,73,47,52,27.0,55.0
Egypt,3.817,75,25,56,44,74,26,46,54,5,95,71,29,40,60,42,58,50,50,48,52,81.0,88.0
El Salvador,6.492,85,15,18,81,26,73,62,38,4,96,65,35,11,88,50,50,24,76,54,46,88.0,89.0
Estonia,6.417,93,7,15,84,32,67,79,21,4,93,83,17,24,75,75,25,30,69,68,31,85.0,91.0
Eswatini,3.774,77,23,25,74,46,53,66,33,14,86,66,34,18,81,64,36,34,65,60,40,37.0,62.0
Ethiopia,3.898,74,26,37,63,66,33,68,32,38,62,74,25,34,66,67,32,48,52,62,38,53.0,70.0
Finland,7.736,93,7,28,72,30,69,76,24,6,92,86,14,26,74,67,33,32,67,69,31,85.0,91.0
