Country,Happiness Index,Unemployment rate (%),GDP per hour worked ($),Non-fatal occupational injuries per 100'000 workers,Occupational fatalities per 100'000 workers,Inspectors per 10'000 employed persons,min. monthly wage (PPP $),Extremely poor (%),Moderately poor (%),Not extremely or moderately poor (%),Average hours per week per employed person,Share of employed working 49 or more hours per week (%),Employment to Population ratio %
Afghanistan,1.364,5.7,6.2,,,,344.0,,,,39.6,15.0,32.6
Albania,5.411,10.7,19.5,,,,790.0,0.0,0.0,100.0,41.7,20.0,54.6
Algeria,5.571,10.2,28.2,,,,474.0,0.0,0.0,100.0,43.7,26.0,35.8
Andorra,,,,,,,1755.0,,,,,,
Angola,,14.1,9.5,,,,231.0,32.0,22.0,47.0,41.4,31.0,64.8
Antigua And Barbuda,,5.4,,,,,702.0,,,,,,
Argentina,6.397,6.1,33.4,3587.0,3.3,0.3,620.0,0.0,1.0,99.0,37.0,16.0,57.5
Armenia,5.494,8.4,25.6,29.0,4.2,,476.0,0.0,4.0,96.0,40.1,10.0,52.8
Aruba,,,,,,,,,,,39.4,,
Australia,6.974,3.9,69.2,899.0,1.6,,2635.0,,,,32.3,12.0,63.7
Austria,6.81,5.3,90.1,1513.0,2.9,0.7,,,,,33.3,7.0,57.0
Azerbaijan,4.875,5.7,26.5,14.0,2.0,0.5,656.0,0.0,0.0,100.0,34.4,4.0,58.8
Bahamas,,8.6,32.7,,,,1014.0,0.0,0.0,100.0,,,65.7
Bahrain,6.03,,48.0,109.0,0.6,0.3,1586.0,0.0,0.0,100.0,,,69.8
Bangladesh,3.851,4.6,8.7,,,,407.0,3.0,19.0,78.0,46.9,47.0,59.0
Barbados,,6.5,21.3,388.0,0.8,1.4,540.0,3.0,5.0,93.0,,,58.0
Belarus,,3.5,31.5,50.0,3.4,0.4,768.0,0.0,0.0,100.0,39.1,2.0,60.4
Belgium,6.91,5.5,91.6,2314.0,0.0,0.6,2614.0,,,,35.0,8.0,51.2
Belize,6.711,9.1,14.7,910.0,5.2,1.4,942.0,14.0,17.0,69.0,39.0,20.0,57.7
Benin,4.357,1.7,4.2,,,,260.0,9.0,25.0,66.0,40.4,27.0,74.4
Bermuda,,,,,,,,,,,41.8,21.0,
Bhutan,,3.1,11.4,,,,180.0,0.0,1.0,99.0,54.4,61.0,63.1
