Country,min. monthly wage (PPP $)
Switzerland,3665
Luxembourg,2797
Germany,2771
Australia,2635
Netherlands,2625
Belgium,2614
Iceland,2579
New Zealand,2561
United Kingdom of Great Britain and Northern Ireland,2414
France,2352
Canada,2338
Republic of Korea,2236
Ireland,2159
Saudi Arabia,2126
Slovenia,2020
Spain,2006
San Marino,1926
Türkiye,1872
Poland,1792
Japan,1763
Oman,1756
Andorra,1755
Guatemala,1679
Lithuania,1656
Cyprus,1628
Greece,1595
Bahrain,1586
Portugal,1570
Malta,1548
Israel,1505
Romania,1503
New Caledonia,1365
Croatia,1271
United States of America,1257
Czechia,1206
Hungary,1196
Montenegro,1194
"Hong Kong, China",1188
Slovakia,1179
Estonia,1141
Latvia,1135
Bolivia,1093
Costa Rica,1042
North Macedonia,1040
Malaysia,1024
Ecuador,1021
Serbia,1015
Bahamas,1014
Bulgaria,996
Paraguay,986
Dominica,967
Indonesia,953
Belize,942
Honduras,929
Fiji,927
Panama,884
Egypt,878
Chile,835
Dominican Republic,828
Thailand,815
Jordan,810
Albania,790
Bosnia and Herzegovina,780
Uruguay,774
Morocco,772
Belarus,768
El Salvador,758
Trinidad and Tobago,758
Ukraine,752
Colombia,750
Seychelles,746
Iraq,736
Palau,728
Saint Kitts and Nevis,727
Antigua and Barbuda,702
Viet Nam,693
Grenada,692
Jamaica,684
Azerbaijan,656
Marshall Islands,655
Guyana,625
Argentina,620
South Africa,620
Saint Vincent and the Grenadines,612
Turkmenistan,609
Republic of Moldova,602
Iran,599
Mongolia,592
Maldives,587
Mauritius,585
Pakistan,571
Mexico,566
Nicaragua,564
Brazil,561
Libya,549
China,542
Barbados,540
Peru,521
Gabon,520
Congo,519
Nepal,500
Tunisia,500
Russian Federation,497
Armenia,476
Algeria,474
Equatorial Guinea,472
Samoa,440
Kazakhstan,419
Kuwait,409
Bangladesh,407
Philippines,400
Qatar,364
Kenya,362
Botswana,354
Mozambique,352
Afghanistan,344
Zimbabwe,328
Vanuatu,321
Côte d'Ivoire,320
Lesotho,307
Uzbekistan,307
Lao People's Democratic Republic,291
Kiribati,288
Suriname,285
Cabo Verde,283
Papua New Guinea,262
Benin,260
Nigeria,260
Chad,253
Myanmar,250
Timor-Leste,250
Senegal,247
Lebanon,242
Comoros,241
Togo,235
India,234
Angola,231
"Tanzania, United Republic of",228
Burkina Faso,226
Solomon Islands,222
Mali,209
Cameroon,205
"Congo, Democratic Republic of the",198
Niger,195
Sri Lanka,194
Zambia,192
Liberia,189
Malawi,186
Bhutan,180
Haiti,171
Guinea,154
Madagascar,154
Central African Republic,133
Tajikistan,124
Sierra Leone,123
Ghana,102
Uganda,98
Kyrgyzstan,86
Guinea-Bissau,84
Eswatini,68
Gambia,68
Georgia,19
Syrian Arab Republic,19
Rwanda,7
Burundi,5
Sudan,2
Cambodia,0
